Time,Label,ProcessScore,Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20260630-11:08:00,20260630_153398_avg,73.5992,0,444.0435,456.0524,439.3844,421.9542,447.1851,442.2,432.5943,414.7056,422.3314,402.0769,399.6039,380.1512,392.9579,384.8562,365.0664,375.5368,371.3881,389.3249,375.3425,361.7142,361.1054,355.5136,349.537,336.3754,344.1783,334.4878,325.9358,343.5798,339.6299,312.0491,328.8182,339.3776,337.857,335.2922,321.8102,309.5823,304.8555,319.3998,317.9473,326.6177,322.7238,306.8461,292.4077,301.494,306.1514,299.8463,294.09,302.283,292.2272,289.5056,299.0818,289.6524,295.9282,295.1331,277.7629,284.2902,305.3809,274.4365,262.4834,264.4979,285.3964,284.5574,282.0159,296.5604,250.9984,285.6123,298.3221,266.641,274.5902,269.646,267.3942,273.3408,292.9713,297.1386,271.5611,296.8681,274.8311,294.1513,272.4103,274.5542,276.831,308.8405,281.6286,263.2931,282.2457,266.5628,264.7542,280.5451,270.1247,272.6792,269.3447,272.787,273.5411,246.0712,275.826,256.5943,251.0636,266.7908,268.2204,259.058
20260630-11:09:00,20260630_154493_avg,86.1568,0,368.3161,346.6911,340.4224,350.4675,343.5875,339.971,336.2046,334.0189,335.7079,315.3673,311.0576,307.9652,315.3602,319.4605,302.6925,282.8942,286.0631,289.942,289.2122,287.6265,288.5704,283.3303,291.9015,276.0654,272.6777,281.6475,264.0679,278.0585,274.5952,271.5898,284.5529,266.2081,286.9599,268.223,259.3916,269.721,260.2183,262.4428,271.2263,272.0951,262.2778,274.6164,275.427,277.0391,269.1388,275.0445,248.3996,260.0033,254.7413,261.6856,255.2593,257.5705,272.995,255.7924,259.6429,253.7687,255.5805,254.4792,257.5616,262.9421,266.5632,255.7959,258.0233,244.2529,252.9054,261.3551,261.0803,256.2263,261.9856,259.222,265.2499,258.3359,253.4925,259.2356,233.3704,259.8441,227.7107,242.9379,260.066,259.9796,246.5396,249.6807,265.7665,250.4389,271.584,253.1069,255.7878,264.8583,252.5019,243.0116,249.7346,250.02,239.218,247.9383,244.0498,257.4135,250.5067,248.248,250.0031,253.0397
20260630-11:10:00,20260630_155588_avg,71.4185,0,382.3737,401.1646,398.7119,381.6267,375.4063,335.9826,361.5294,346.5361,339.4702,358.8699,365.5874,367.3627,355.5845,327.6698,332.2712,336.1467,321.9292,319.089,328.1201,310.2186,296.1288,299.1187,314.8804,301.9699,305.8712,309.8283,290.3487,308.4271,300.7605,272.0157,317.1279,283.002,262.5389,272.4812,272.4309,290.4596,284.4852,283.0441,299.1133,293.9226,293.0946,294.2401,297.263,249.8835,279.1888,247.2867,284.592,283.0739,300.2541,301.8058,283.9828,271.0001,287.0436,268.7869,277.0284,293.2541,266.0707,288.9221,286.2461,257.8395,290.713,285.8324,275.5371,260.7436,259.2223,264.967,283.8095,258.4046,282.7008,254.2295,272.4273,278.1654,318.596,253.1861,302.3228,279.7203,284.2355,279.1414,284.5937,274.0703,301.3624,268.1392,294.9642,263.9254,273.4046,255.4493,281.1031,297.5485,270.8622,268.3248,252.1375,266.9996,243.3145,254.8253,274.3307,293.119,318.8396,260.7147,295.7415,275.6362
20260630-11:11:00,20260630_156683_avg,77.8287,0,450.4014,424.7209,416.6811,413.322,387.1869,359.6196,380.1395,375.3194,346.6497,345.8422,342.189,332.6937,316.8754,310.2821,303.138,269.928,296.0983,256.1369,261.7146,294.1427,282.6529,290.5941,257.2431,239.2699,252.4269,255.9335,253.2911,269.3946,241.6245,252.0878,227.2107,250.409,241.1467,226.6944,234.1888,233.7795,231.0662,265.14,231.7723,228.2284,195.2643,215.118,225.1552,217.0595,252.0017,224.6205,249.073,227.3229,226.3775,223.7333,224.916,254.1535,184.1432,189.375,214.3391,223.8082,235.361,231.5561,216.7462,240.9983,241.2659,226.7785,240.372,228.6549,214.4845,236.4771,226.6289,225.0553,250.7897,183.4215,201.625,205.9895,220.6021,222.8778,201.66,211.0753,213.6203,271.284,260.3495,222.5148,223.6988,210.4731,197.6864,228.8901,213.9463,229.9368,203.9848,218.6224,234.4756,238.3331,239.2847,209.3192,246.856,218.2516,242.9076,231.6877,207.9673,226.0835,237.6323,241.6602
20260630-11:12:00,20260630_157778_avg,92.4068,0,411.2802,403.1563,379.6534,365.0138,355.1577,348.665,338.2425,328.5339,321.3158,314.7035,308.248,313.5373,301.9786,299.5225,290.8397,288.1653,283.0109,273.3917,274.848,270.7885,266.915,268.2591,274.7086,268.2079,270.9522,266.3599,266.0924,259.0032,262.4741,261.9181,256.3513,259.0773,258.0629,253.3276,250.4751,249.399,252.859,252.8967,248.3991,250.4754,251.6679,251.2308,253.8194,252.3781,244.2295,252.8379,244.9839,249.9364,246.3301,244.4361,239.4976,244.8087,239.9724,248.3581,250.1208,242.2754,245.9589,242.5142,242.8886,247.6929,245.0624,251.1873,243.8647,249.0399,246.2085,248.7867,244.8432,246.4402,246.4881,244.3408,249.6738,249.9256,250.0283,253.499,253.494,247.634,250.43,247.3395,249.7723,247.9127,255.6119,251.5841,249.8084,254.725,243.5323,244.1739,253.7275,251.3137,251.9901,246.6885,251.0603,257.8422,253.7988,251.497,249.3237,249.3261,243.3128,251.1592,252.9256,244.5383
20260630-11:13:00,20260630_158873_avg,82.596,0,367.6447,334.3274,341.2158,356.7237,306.6467,326.5151,312.2681,328.3755,308.125,315.3912,313.2397,323.1433,298.1694,301.2016,278.5327,304.1814,280.8849,280.5499,283.9336,265.3647,282.2645,288.0874,279.0051,257.2004,271.0042,278.5368,249.1642,256.2121,275.537,267.8123,268.1272,282.3989,266.6496,267.7762,288.7862,257.08,250.3202,262.8739,262.6446,252.1512,246.6403,282.0621,261.06,249.9476,267.6454,257.043,255.856,264.8984,245.656,263.5776,280.6294,265.7812,257.3503,256.4635,257.9761,260.0954,259.2061,273.3222,245.5357,273.3532,260.389,268.566,252.6827,278.7492,277.8017,274.6271,248.1579,272.7549,267.9101,246.1756,262.4984,266.1223,267.6126,263.0183,263.6306,275.5674,272.3237,228.2732,254.7332,255.7791,238.388,257.4776,269.2738,244.0872,258.8465,245.2806,247.6624,270.3385,248.8426,259.5227,234.8511,274.64,261.5091,253.4815,261.894,241.2487,269.2355,253.7653,255.5908,253.1178
20260630-11:14:00,20260630_159968_avg,77.6421,0,401.9639,439.3826,432.608,388.0748,430.8355,405.1804,399.6493,379.3136,370.6545,366.3529,371.9461,384.4399,360.5073,338.7944,363.589,361.6215,353.8084,351.9618,332.0642,318.1495,316.1313,300.6473,328.5657,320.6503,312.2717,268.6248,294.3832,331.11,299.8802,314.8974,284.5476,329.4739,302.2152,308.1905,340.5899,326.4924,295.9229,290.6883,294.6763,308.0966,297.8408,293.0127,323.5623,297.7085,337.4189,301.3648,329.3388,306.1151,316.2292,288.7168,286.723,308.3374,317.0283,301.4315,279.558,278.1503,276.7773,270.8372,301.1815,317.3222,298.0709,260.5779,293.8127,293.5224,329.7778,270.7075,287.3778,320.9416,299.5493,300.6377,292.5512,295.4076,302.1379,275.5772,302.7963,265.5212,293.1525,290.5305,277.4259,287.1923,277.4867,270.3463,282.4343,270.5235,294.3848,270.7591,301.8685,271.4327,282.1566,281.8467,314.4606,298.772,290.478,302.6784,260.4426,294.7182,328.5349,298.2224,297.3493,305.3145
20260630-11:15:00,20260630_161063_avg,73.4561,0,381.9565,329.9585,372.4453,358.0552,337.875,364.078,358.5589,318.7972,265.6227,323.2226,315.4189,303.6846,313.765,258.2376,327.4367,253.2575,288.7367,227.5186,241.256,294.7663,249.7335,272.275,255.2217,244.5325,276.4545,236.8418,198.8026,219.9912,250.2361,245.3883,198.4929,217.4126,220.1378,224.7454,200.798,218.0839,215.6291,250.6716,251.5442,229.2172,223.4599,235.8771,213.4334,205.5767,210.2044,217.0612,204.3223,234.865,247.595,192.7767,229.7877,223.2971,235.6257,226.5029,191.9625,195.5995,225.0066,247.6185,171.0653,230.3214,249.5333,217.7072,233.8486,204.3474,217.9356,182.871,166.1237,243.2926,198.5836,211.4343,190.1954,190.2313,219.7625,207.3932,233.9195,236.2556,233.7197,232.2749,263.9965,202.4262,226.3136,254.183,257.2439,194.274,219.9756,258.6971,238.3699,230.5276,220.2779,215.7535,230.8038,217.4815,221.7212,223.9184,205.6317,233.4167,288.6947,178.6215,227.5241,202.0366
20260630-11:16:00,20260630_162158_avg,64.9406,0,472.1989,475.4461,409.5393,405.8469,415.8678,408.2026,411.357,426.2066,356.8199,416.6335,390.9629,382.783,350.3055,392.7802,322.3331,390.0799,337.6958,370.5152,363.6959,390.6823,356.8023,342.2022,343.8847,382.383,362.8007,338.9777,339.9382,306.7537,349.5269,297.5417,353.2451,336.5806,386.5268,303.8031,324.7249,366.571,350.5418,304.9866,324.3522,317.3969,322.1011,297.7525,310.2019,273.7937,312.346,318.2092,301.2236,267.9076,326.8644,311.3393,285.1126,294.4415,265.3717,275.537,286.0587,326.1865,282.4323,311.4538,283.7516,301.4953,292.138,315.2605,282.4755,258.2851,262.5086,282.002,265.323,303.567,283.2685,348.8358,253.808,298.629,267.8489,282.4865,297.1258,240.1091,299.2503,337.6753,283.1628,299.5361,317.0828,289.465,279.6484,240.2845,307.4146,289.714,268.6221,294.5929,277.8054,278.6689,304.4363,259.0389,313.6446,256.6339,273.0565,332.2077,313.2327,288.8326,264.2259,273.0909
20260630-11:17:00,20260630_163253_avg,78.6509,0,437.6688,437.8741,413.3742,411.3364,389.7971,409.0363,389.0025,357.5274,379.7053,354.2166,352.0921,359.9917,344.4162,359.7891,332.6532,331.2813,327.4152,325.5378,345.8907,336.4974,348.9934,354.3,305.7213,318.9002,299.3076,302.8741,303.0291,295.2353,293.5945,304.687,288.1307,315.5267,289.5109,340.4467,293.5649,299.7764,279.5776,320.6565,311.5455,299.2016,275.4261,296.5658,277.2942,312.9464,303.3173,292.9018,257.0775,277.1331,300.3004,307.4646,305.8681,267.9292,294.3993,304.3824,266.9401,290.1062,294.1246,286.1683,264.546,286.0546,286.166,288.8162,283.1376,284.9635,290.7458,297.6233,287.2707,285.8915,293.0007,264.8533,298.4797,291.7988,292.3471,305.208,264.3238,263.9338,295.2984,291.2147,293.5248,284.4695,300.0306,303.5489,297.0056,286.2977,260.1383,300.1436,306.178,297.784,276.1221,297.5767,299.8908,309.3799,274.9878,283.822,297.2136,287.3203,270.6571,291.9362,294.0793,287.0784
20260630-11:18:00,20260630_164348_avg,77.6478,0,389.6681,376.3639,390.1535,373.2031,374.5461,380.3357,363.7265,368.1685,359.2712,364.9348,359.4998,344.8651,346.5804,355.0243,345.6817,325.4936,342.3226,322.823,344.1294,337.8234,328.3016,324.6652,318.8929,325.2734,313.1587,317.0568,321.3519,305.8697,303.742,296.6848,296.527,287.8767,311.2252,320.4473,315.6943,285.3828,307.0238,312.8324,293.9399,298.4946,277.455,298.5485,285.0312,296.4367,278.801,298.2923,302.1993,284.1139,279.992,269.4767,286.9003,283.1468,273.1132,291.6492,282.2735,275.5772,279.919,294.8982,289.7916,282.1783,288.8402,271.2503,282.2653,282.9689,276.6875,285.0776,273.1389,285.3177,285.5484,252.0916,291.445,250.6648,273.9724,289.7071,276.7899,265.7388,269.3005,289.6481,261.293,290.5446,279.1004,268.0826,273.8162,269.5008,287.4201,285.9364,262.1645,274.5565,269.8786,290.3172,264.6364,292.7225,276.7019,265.5757,269.9579,268.5072,263.7293,276.6752,263.7908,254.496
20260630-11:19:00,20260630_165443_avg,88.5909,0,364.9249,361.0228,356.3547,344.1563,343.6341,333.275,334.0427,330.4884,330.8484,325.6347,324.7712,322.7588,318.8695,321.2867,318.4196,315.306,312.1794,314.7985,309.2306,307.1927,306.9389,311.0084,298.2622,304.271,292.9382,299.0014,302.354,296.8422,294.1572,290.002,290.6942,288.2415,284.916,285.3809,285.8625,281.1021,279.7635,276.6047,281.8883,281.4213,279.3105,281.0719,277.0357,277.363,276.3285,274.2425,272.0631,281.5363,271.3862,270.2234,273.9043,272.9817,266.7533,275.806,271.2882,267.549,275.924,273.9252,267.1364,278.3274,274.4112,272.1552,278.1771,273.1844,272.7269,270.6564,275.4067,275.2502,273.7873,271.0642,274.599,274.0386,269.5821,269.1923,276.6865,265.2118,275.4398,272.9288,279.3658,272.7078,276.7609,272.7353,274.3724,276.3803,271.7201,276.6983,269.0927,273.3864,275.2505,273.8499,277.956,267.7227,264.9876,265.8844,271.3978,270.2988,268.3559,263.4032,269.7981,262.0872
20260630-11:20:00,20260630_166538_avg,71.5722,0,388.392,369.7307,423.5647,382.4755,373.4091,357.3682,358.2868,379.7815,357.3771,367.019,350.1144,345.1128,321.191,307.3917,340.5836,345.0061,315.2679,338.8583,338.5295,290.966,314.3693,339.483,337.0401,303.3942,328.4724,344.4175,337.6464,318.0831,308.8989,304.1709,325.4328,318.6467,326.5127,315.3339,328.6155,312.9889,326.534,327.7469,292.8184,271.7627,340.2989,313.5051,272.6641,292.9308,323.1645,301.2152,296.0783,335.0085,284.2262,288.8431,309.0313,312.0791,313.5546,321.3156,305.8292,310.9128,294.5718,300.1929,300.0796,301.2288,311.6116,306.0605,294.4836,275.8887,292.8996,289.9632,293.5999,334.1509,277.2511,296.0208,308.7151,288.266,333.9158,277.773,291.9973,268.7892,277.947,290.3301,302.7162,292.0372,311.5683,283.965,279.3429,342.0252,294.7893,272.1223,272.8383,267.884,306.6193,279.9075,289.9827,285.9483,302.1048,269.3885,264.3368,290.6387,297.8884,291.8105,267.716,297.6246
20260630-11:21:00,20260630_167633_avg,87.0158,0,412.3386,409.1094,331.3332,323.2985,305.7719,293.4898,282.1652,284.1327,265.6325,278.5193,269.0471,268.9359,264.2256,260.753,244.2619,271.3863,244.1632,214.6019,222.1948,210.1139,229.4192,225.311,218.8572,247.8892,227.9922,228.7637,206.872,205.0073,217.1072,218.1646,192.3753,212.9493,215.17,212.2138,204.74,208.2073,212.8243,216.2767,222.8021,228.8364,211.7451,209.7398,220.8414,222.8862,209.6622,224.6721,226.6931,230.1774,235.7761,202.2643,212.6804,212.057,210.0911,202.6187,191.611,210.7567,199.5286,209.7616,198.438,194.3652,210.8354,209.7236,215.0921,235.2518,211.6567,214.5414,195.415,193.2274,229.4898,198.7247,197.7302,210.7664,210.6094,200.9193,208.7611,228.2217,203.0799,195.9098,225.1196,219.4789,205.4818,193.2809,203.4389,211.682,226.4797,198.5383,209.908,218.8612,180.2164,222.3077,194.1929,212.6598,211.2351,221.3997,214.5399,177.9024,197.7457,209.3321,205.3417,213.9826
20260630-11:22:00,20260630_168728_avg,73.063,0,386.7615,363.4544,284.6705,321.3128,390.1045,329.9235,292.9894,364.0349,332.4897,354.6653,332.5873,334.0337,329.2167,334.4935,368.7269,336.2878,275.1562,320.0911,334.301,333.947,294.5634,329.8075,322.8132,359.4523,281.2103,285.546,288.9934,283.5866,273.2495,228.8853,281.7908,299.4822,278.6544,334.0422,288.7923,317.6357,293.126,305.5605,292.2962,316.9474,286.037,295.7306,292.2664,276.6875,292.3319,334.2976,275.9853,291.6306,310.7351,307.741,281.3701,225.7065,292.6054,229.0824,314.2793,284.0108,303.0637,258.902,243.7104,285.5427,278.6064,267.8907,281.113,343.0912,298.2536,303.1265,298.2692,312.8782,274.143,230.8919,273.983,297.036,255.7093,273.9738,261.9482,312.6205,295.106,292.7421,291.9519,276.6078,281.9464,249.8523,226.5887,280.5727,284.511,304.9155,313.2156,313.1097,253.6086,268.488,287.6968,335.1215,310.7319,302.3425,267.4268,255.9326,294.607,250.8613,270.8056,273.6637
20260630-11:23:00,20260630_169823_avg,65.5546,0,505.461,454.2642,462.9404,474.9735,442.2582,421.2922,458.9182,463.8592,439.6897,402.0727,446.4848,400.6907,432.4833,407.5344,399.0951,408.3676,409.401,397.5517,416.0679,394.0092,416.099,400.2054,379.4067,373.2464,356.242,388.1088,373.8615,335.2048,365.76,357.0519,399.4251,338.8757,341.8912,386.0681,389.0929,350.1589,350.9838,372.2144,318.4072,325.6907,352.9392,384.6484,347.9595,356.3943,373.6456,389.7436,340.2478,348.7598,380.083,318.4692,362.3444,323.8215,341.9562,333.7833,318.9449,316.4584,336.9898,347.8699,325.7618,327.4598,334.6423,305.3206,334.4093,334.4045,365.0766,310.5618,308.1035,329.2423,329.4436,304.6254,306.5509,323.1367,298.3824,305.6879,314.5329,330.6841,301.9383,279.6762,278.2216,289.8136,288.5992,309.0136,290.0504,298.2139,296.2794,301.4836,332.1804,319.3586,306.7033,296.9841,296.2395,308.5754,311.8399,283.7768,299.3547,261.0065,299.9375,308.615,288.8528,325.419
